date_time_execution,cod_metric,cod_original_query,cod_noise_kind,cod_search_context,value,qtd_judment_assumed_zero_relevance
2021-11-22 10:40:57,nDCG@10,1109707,0,4,0.5409974127240968,0
2021-11-22 10:40:57,nDCG@10,1110678,0,4,0.27118672915328457,0
2021-11-22 10:40:57,nDCG@10,1113256,0,4,0.6427790125974805,0
2021-11-22 10:40:57,nDCG@10,1115210,0,4,0.16099483637058798,0
2021-11-22 10:40:57,nDCG@10,1116380,0,4,0.0,0
2021-11-22 10:40:57,nDCG@10,1121353,0,4,0.4459826993653359,0
2021-11-22 10:40:57,nDCG@10,1122767,0,4,0.5959777381506514,0
2021-11-22 10:40:57,nDCG@10,1127540,0,4,0.9255702664733555,0
2021-11-22 10:40:57,nDCG@10,1131069,0,4,0.46927872602275655,0
2021-11-22 10:40:57,nDCG@10,1132532,0,4,0.04999525399306014,0
2021-11-22 10:40:57,nDCG@10,1133579,0,4,0.2470817534987822,0
2021-11-22 10:40:57,nDCG@10,1136043,0,4,0.38626502264192364,0
2021-11-22 10:40:57,nDCG@10,1136047,0,4,0.26769685441002194,0
2021-11-22 10:40:57,nDCG@10,1136962,0,4,0.7629118378410907,0
2021-11-22 10:40:58,DCG@10,23849,1,4,1.7461414348591218,0
2021-11-22 10:40:58,DCG@10,42255,1,4,7.0,0
2021-11-22 10:40:58,DCG@10,47210,1,4,24.41239210560242,0
2021-11-22 10:40:58,DCG@10,67316,1,4,7.315464876785729,0
2021-11-22 10:40:58,DCG@10,118440,1,4,3.0147359065137516,2
2021-11-22 10:40:58,DCG@10,121171,1,4,1.0,9
2021-11-22 10:40:58,DCG@10,135802,1,4,11.264460032702848,0
2021-11-22 10:40:58,DCG@10,141630,1,4,6.671992939131519,0
2021-11-22 10:40:58,DCG@10,156498,1,4,5.392789260714372,0
2021-11-22 10:40:58,DCG@10,169208,1,4,7.042682917905673,0
2021-11-22 10:40:58,DCG@10,174463,1,4,2.3333333333333335,0
2021-11-22 10:40:58,DCG@10,258062,1,4,7.0,0
2021-11-22 10:40:58,DCG@10,324585,1,4,4.4165082750002025,1
2021-11-22 10:40:58,DCG@10,330975,1,4,5.868423001896077,0
2021-11-22 10:40:58,DCG@10,332593,1,4,12.381404632290026,0
2021-11-22 10:40:58,DCG@10,336901,1,4,5.607209969647869,0
2021-11-22 10:40:58,DCG@10,390360,1,4,12.513006339229124,0
2021-11-22 10:40:58,DCG@10,405163,1,4,23.974999839815005,0
2021-11-22 10:40:58,DCG@10,555530,1,4,0.0,0
2021-11-22 10:40:58,DCG@10,583468,1,4,28.842476087362982,0
2021-11-22 10:40:58,DCG@10,640502,1,4,6.909958584756358,0
2021-11-22 10:40:58,DCG@10,673670,1,4,0.0,0
2021-11-22 10:40:58,DCG@10,701453,1,4,20.571811044648925,0
2021-11-22 10:40:58,DCG@10,730539,1,4,7.130406836286026,0
2021-11-22 10:40:58,DCG@10,768208,1,4,13.756541335744952,0
2021-11-22 10:40:58,DCG@10,877809,1,4,9.749502597328034,0
2021-11-22 10:40:58,DCG@10,911232,1,4,3.3606447887098185,0
2021-11-22 10:40:58,DCG@10,914916,1,4,22.082492347694945,0
2021-11-22 10:40:58,DCG@10,938400,1,4,1.0,0
2021-11-22 10:40:58,DCG@10,940547,1,4,4.404824089087867,0
2021-11-22 10:40:58,DCG@10,997622,1,4,24.781481608828656,0
2021-11-22 10:40:58,DCG@10,1030303,1,4,18.988698449504877,0
2021-11-22 10:40:58,DCG@10,1037496,1,4,12.682900853922357,0
2021-11-22 10:40:58,DCG@10,1043135,1,4,16.931244181513954,0
2021-11-22 10:40:58,DCG@10,1051399,1,4,0.0,0
2021-11-22 10:40:58,DCG@10,1064670,1,4,6.851549105871336,0
2021-11-22 10:40:58,DCG@10,1071750,1,4,7.29679459789417,0
2021-11-22 10:40:58,DCG@10,1105792,1,4,7.160842233423906,0
2021-11-22 10:40:58,DCG@10,1106979,1,4,14.047443976490056,0
2021-11-22 10:40:58,DCG@10,1108651,1,4,9.107209969647869,0
2021-11-22 10:40:58,DCG@10,1109707,1,4,17.206376925249433,0
2021-11-22 10:40:58,DCG@10,1110678,1,4,2.6215002696767944,0
2021-11-22 10:40:58,DCG@10,1113256,1,4,18.115233019013786,0
2021-11-22 10:40:58,DCG@10,1115210,1,4,2.0616063116448506,0
2021-11-22 10:40:58,DCG@10,1116380,1,4,0.0,0
2021-11-22 10:40:58,DCG@10,1121353,1,4,3.9270644656386358,0
2021-11-22 10:40:58,DCG@10,1122767,1,4,18.955021522270137,0
2021-11-22 10:40:58,DCG@10,1127540,1,4,24.85095377562896,0
2021-11-22 10:40:58,DCG@10,1131069,1,4,7.0,0
2021-11-22 10:40:58,DCG@10,1132532,1,4,1.5900948219818691,0
2021-11-22 10:40:58,DCG@10,1133579,1,4,5.473947265522557,0
2021-11-22 10:40:58,DCG@10,1136043,1,4,10.370962173829778,0
